ticker	signal_price
SOL-USD	136.54
SOL-USD	229.15
SOL-USD	233.88
SOL-USD	196.25
SOL-USD	195.44
SOL-USD	189.04
SOL-USD	189.02
SOL-USD	191.12
SOL-USD	192.25
SOL-USD	191.79
SOL-USD	193.52
SOL-USD	194.84
SOL-USD	198.31
SOL-USD	160.57
SOL-USD	130.77
SOL-USD	130.66
SOL-USD	131.13
SOL-USD	128.93
SOL-USD	136.98
SOL-USD	136.56
SOL-USD	136.35
SOL-USD	142.37
SOL-USD	141.94
SOL-USD	229.26
SOL-USD	233.88
SOL-USD	230.23
SOL-USD	195.45
SOL-USD	204.14
SOL-USD	192.47
SOL-USD	193.22
SOL-USD	194.62
SOL-USD	199.47
SOL-USD	199.98
SOL-USD	128.92
SOL-USD	136.82
SOL-USD	142.08
SOL-USD	142.24
SOL-USD	230.44
SOL-USD	184.19
SOL-USD	192.08
SOL-USD	192.86
SOL-USD	199.47
SOL-USD	199.43
IBIT	65.09
IBIT	65.07
IBIT	65.84
IBIT	65.91
IBIT	65.47
IBIT	66.92
IBIT	66.92
IBIT	64.67
IBIT	64.71
IBIT	64.39
IBIT	66.75
IBIT	67.93
IBIT	68.0
IBIT	68.26
IBIT	68.33
IBIT	68.69
IBIT	68.67
IBIT	68.72
IBIT	70.91
IBIT	71.32
IBIT	71.45
IBIT	70.3
IBIT	70.39
IBIT	64.02
IBIT	64.29
IBIT	64.33
IBIT	64.63
IBIT	62.29
IBIT	65.64
IBIT	62.67
IBIT	62.82
IBIT	59.17
IBIT	58.59
IBIT	58.57
IBIT	60.08
IBIT	60.12
IBIT	60.21
IBIT	60.25
IBIT	50.13
IBIT	49.47
IBIT	52.24
IBIT	65.02
IBIT	65.34
IBIT	65.4
IBIT	66.61
IBIT	66.82
IBIT	67.63
IBIT	68.16
IBIT	68.69
IBIT	68.56
IBIT	71.02
IBIT	71.18
IBIT	64.46
IBIT	65.02
IBIT	65.28
IBIT	65.36
IBIT	65.44
IBIT	64.99
IBIT	66.86
IBIT	67.68
IBIT	68.14
IBIT	69.75
IBIT	69.69
IBIT	70.83
IBIT	71.09
IBIT	63.96
IBIT	50.96
IBIT	65.36
IBIT	66.75
IBIT	68.5
ETHA	33.53
ETHA	33.54
ETHA	33.57
ETHA	34.62
ETHA	34.67
ETHA	34.87
ETHA	34.38
ETHA	35.02
ETHA	31.61
ETHA	30.1
ETHA	30.2
ETHA	33.37
ETHA	33.39
ETHA	33.68
ETHA	33.62
ETHA	33.85
ETHA	33.98
ETHA	34.1
ETHA	35.62
ETHA	35.52
ETHA	31.5
ETHA	31.6
ETHA	32.16
ETHA	31.28
ETHA	30.86
ETHA	30.97
ETHA	31.04
ETHA	29.14
ETHA	29.36
ETHA	25.87
ETHA	26.2
ETHA	26.89
ETHA	23.89
ETHA	22.15
ETHA	22.23
ETHA	22.29
ETHA	22.23
ETHA	22.28
ETHA	23.12
ETHA	23.29
ETHA	34.99
ETHA	34.97
ETHA	33.83
ETHA	33.24
ETHA	33.62
ETHA	34.01
ETHA	34.3
ETHA	30.5
ETHA	29.56
ETHA	28.14
ETHA	26.99
ETHA	22.23
ETHA	23.21
ETHA	33.22
ETHA	33.58
ETHA	34.01
ETHA	34.1
ETHA	34.3
ETHA	30.5
ETHA	29.56
ETHA	29.53
