ticker	date	intervals	signal_price	current_price	current_time	nx_1d_signal	nx_30m_signal	nx_1d	nx_1h	nx_30m
SOUN	2025-06-06	1,2,3	10.13	12.05	2025-11-28 00:00:00	False		False	False	True
TLRY	2025-06-06	1,3,4	0.4	0.81	2025-11-28 00:00:00	False		False	False	False
SH	2025-06-05	1,2,3	41.74	36.35	2025-11-28 00:00:00	False		False	False	False
SQQQ	2025-06-05	1,2,3	115.18	68.41	2025-11-28 00:00:00	False		False	False	False
HOLO	2025-06-04	2,3,4	5.65	3.58	2025-11-28 00:00:00	False		False	False	True
USAR	2025-05-30	1,2,3,4	9.07	13.45	2025-11-28 00:00:00	False		False	False	False
AREC	2025-05-29	1,2,3	0.67	2.78	2025-11-28 00:00:00	True		True	False	False
JD	2025-05-29	1,3,4	32.99	29.83	2025-11-28 00:00:00	False		False	False	True
HOLO	2025-05-27	1,2,3	5.78	3.58	2025-11-28 00:00:00	False		False	False	True
LLY	2025-05-27	1,2,3,4	727.28	1075.47	2025-11-28 00:00:00	False		True	True	True
AGQ	2025-05-16	1,3,4	38.59	107.32	2025-11-28 00:00:00	False		True	True	True
LLY	2025-05-15	1,2,3	735.4	1075.47	2025-11-28 00:00:00	False		True	True	True
OPEN	2025-05-14	1,2,3,4	0.75	7.7	2025-11-28 00:00:00	False		True	True	True
RKT	2025-05-12	1,2,3,4	11.44	19.98	2025-11-28 00:00:00	False		True	True	True
TLRY	2025-05-08	2,3,4	0.44	0.81	2025-11-28 00:00:00	False		False	False	False
SQQQ	2025-05-02	1,2,3	142.31	68.41	2025-11-28 00:00:00	True		False	False	False
