ticker	date	intervals	signal_price	current_price	current_time	nx_1d	nx_30m
ASTS	2025-01-15	1,2,4	21.41	53.09	2025-07-29 00:00:00	False	
CRWD	2025-01-15	2,3,4	361.81	465.51	2025-07-29 00:00:00	True	
INTC	2025-01-15	1,2,3,4	19.42	20.41	2025-07-29 00:00:00	False	
MSFT	2025-01-15	1,2,3,4	425.67	512.57	2025-07-29 00:00:00	True	
OPEN	2025-01-15	2,3,4	1.53	2.05	2025-07-29 00:00:00	False	
SPY	2025-01-15	2,3,4	592.27	635.26	2025-07-29 00:00:00	True	
TEM	2025-01-15	1,2,3,4	35.71	58.29	2025-07-29 00:00:00	False	
U	2025-01-15	2,3,4	22.55	32.54	2025-07-29 00:00:00	True	
ADBE	2025-01-14	2,3,4	408.2	370.7	2025-07-29 00:00:00	False	
BABA	2025-01-14	1,2,3,4	81.74	119.36	2025-07-29 00:00:00	False	
BILI	2025-01-14	1,2,3,4	16.64	22.44	2025-07-29 00:00:00	False	
BTC	2025-01-14	2,3,4	42.84	52.04	2025-07-29 00:00:00	True	
COIN	2025-01-14	1,2,3,4	255.49	371.44	2025-07-29 00:00:00	True	
CRWD	2025-01-14	2,3,4	349.77	465.51	2025-07-29 00:00:00	True	
ETH	2025-01-14	1,2,3	30.2	35.45	2025-07-29 00:00:00	True	
ETHA	2025-01-14	1,2,3	24.28	28.49	2025-07-29 00:00:00	True	
IBIT	2025-01-14	2,3,4	54.96	66.71	2025-07-29 00:00:00	True	
INTC	2025-01-14	1,2,3	19.22	20.41	2025-07-29 00:00:00	False	
JD	2025-01-14	2,3,4	34.97	32.22	2025-07-29 00:00:00	True	
MARA	2025-01-14	1,2,3	17.37	16.61	2025-07-29 00:00:00	False	
MSFT	2025-01-14	1,2,3	415.68	512.57	2025-07-29 00:00:00	True	
SOFI	2025-01-14	1,2,3	14.41	22.4	2025-07-29 00:00:00	True	
U	2025-01-14	2,3,4	22.35	32.54	2025-07-29 00:00:00	True	
UPST	2025-01-14	1,2,3,4	57.82	80.43	2025-07-29 00:00:00	True	
BILI	2025-01-13	1,2,3	16.12	22.44	2025-07-29 00:00:00	False	
CAT	2025-01-13	1,2,3	358.82	430.05	2025-07-29 00:00:00	False	
