ticker	date	score	signal_price	nx_1d
ENPH	2025-04-28	3	46.45	False
JD	2025-04-28	4	32.51	False
LII	2025-04-28	3	527.29	False
PG	2025-04-28	3	161.86	False
RHI	2025-04-28	4	44.44	False
RYAN	2025-04-28	3	65.18	True
SQQQ	2025-04-28	3	32.88	True
TSCO	2025-04-28	3	48.97	False
VZ	2025-04-28	3	42.39	True
APLS	2025-04-25	3	17.5	False
ENPH	2025-04-25	3	47.29	False
JD	2025-04-25	3	32.54	False
IRDM	2025-04-24	4	22.98	False
LAD	2025-04-24	3	290.56	False
RHI	2025-04-24	4	45.01	False
RTX	2025-04-24	4	121.17	True
APLS	2025-04-23	3	17.61	False
CACC	2025-04-23	3	464.24	False
FRPT	2025-04-23	4	74.92	False
HIMS	2025-04-23	4	27.25	False
MEDP	2025-04-23	3	290.76	False
QUBT	2025-04-23	4	6.47	False
RTX	2025-04-23	3	120.28	True
S	2025-04-23	4	17.42	False
AAL	2025-04-22	3	9.31	False
ALGM	2025-04-22	3	16.79	False
AMGN	2025-04-22	3	278.38	True
AMZN	2025-04-22	4	176.58	False
AON	2025-04-22	4	368.46	False
BLD	2025-04-22	3	285.11	False
BLDR	2025-04-22	4	116.09	False
BRKR	2025-04-22	3	36.46	False
BX	2025-04-22	3	124.89	False
CHE	2025-04-22	4	574.64	True
CRM	2025-04-22	3	243.38	False
DECK	2025-04-22	4	105.4	False
DXC	2025-04-22	3	14.58	False
FAF	2025-04-22	4	58.31	False
FIVN	2025-04-22	3	21.67	False
FND	2025-04-22	4	68.29	False
FOX	2025-04-22	4	44.37	False
FOXA	2025-04-22	4	47.8	False
H	2025-04-22	4	107.86	False
IQV	2025-04-22	3	143.55	False
JNPR	2025-04-22	3	34.46	False
KMPR	2025-04-22	3	56.21	False
MDGL	2025-04-22	3	302.64	False
META	2025-04-22	4	494.75	False
MIDD	2025-04-22	4	124.97	False
MMM	2025-04-22	4	135.08	False
ORCL	2025-04-22	4	127.22	False
PCOR	2025-04-22	3	57.29	False
QBTS	2025-04-22	4	6.26	False
QMCO	2025-04-22	3	9.92	False
RHI	2025-04-22	4	46.23	False
RVTY	2025-04-22	4	91.89	False
S	2025-04-22	3	16.35	False
TECH	2025-04-22	4	48.67	False
TWST	2025-04-22	3	36.43	False
WSC	2025-04-22	3	22.49	False
YUM	2025-04-22	4	143.54	True
CAG	2025-04-21	3	25.39	False
COTY	2025-04-21	4	4.77	False
DECK	2025-04-21	3	103.52	False
GIS	2025-04-21	3	57.67	False
JBHT	2025-04-21	4	127.22	False
TAP	2025-04-21	3	57.67	True
TLRY	2025-04-21	3	0.44	False
WSM	2025-04-21	4	137.87	False
ZBH	2025-04-21	3	96.22	False
BLDR	2025-04-17	4	117.29	False
CAG	2025-04-17	3	25.33	False
COTY	2025-04-17	3	4.73	False
FND	2025-04-17	4	70.24	False
GERN	2025-04-17	3	1.28	False
GIS	2025-04-17	3	57.51	False
HOLX	2025-04-17	3	57.36	False
JBHT	2025-04-17	4	129.24	False
KSS	2025-04-17	3	6.16	False
ODFL	2025-04-17	4	153.19	False
OPEN	2025-04-17	4	0.95	False
YETI	2025-04-17	4	27.64	False
APTV	2025-04-14	3	48.79	False
LEG	2025-04-14	3	6.84	False
FTRE	2025-04-11	3	5.17	False
INCY	2025-04-11	3	56.87	False
LEG	2025-04-11	3	6.86	False
LH	2025-04-11	3	221.46	False
CERT	2025-04-10	3	10.61	False
INCY	2025-04-10	3	55.17	False
BSY	2025-04-09	3	39.12	False
CLSK	2025-04-09	3	7.11	False
PAG	2025-04-09	3	153.16	False
PEN	2025-04-09	3	270.32	True
SRPT	2025-04-09	3	50.15	False
LMT	2025-04-08	4	441.33	False
PAG	2025-04-08	3	144.77	False
PEN	2025-04-08	3	266.73	True
BSY	2025-04-07	3	39.14	False
EXAS	2025-04-07	3	43.9	False
GMAB	2025-04-07	3	18.14	False
HSY	2025-04-07	3	163.38	True
LEGN	2025-04-07	3	30.26	False
RGTI	2025-04-07	4	8.36	False
SNX	2025-04-07	3	97.67	False
LEGN	2025-04-04	3	32.01	False
SRPT	2025-04-04	3	57.06	False
AMGN	2025-04-03	3	307.83	True
AZN	2025-04-03	3	74.48	True
GMAB	2025-04-03	3	19.23	False
HSY	2025-04-03	3	166.84	True
MO	2025-04-03	3	57.99	True
MRK	2025-04-03	3	86.89	False
SRPT	2025-04-03	3	58.85	False
BF-B	2025-04-02	3	33.86	False
DUO	2025-04-02	3	4.55	False
IT	2025-04-02	3	423.0	False
JD	2025-04-02	3	41.09	True
LBTYK	2025-04-02	3	11.93	False
LHX	2025-04-02	4	212.84	False
OGN	2025-04-02	3	14.76	True
QDEL	2025-04-02	3	34.46	False
RVTY	2025-04-02	3	106.17	False
SRPT	2025-04-02	3	63.31	False
VSTS	2025-04-02	3	9.93	False
BILI	2025-04-01	3	19.0	True
CCCS	2025-04-01	3	9.06	False
CTSH	2025-04-01	3	76.43	False
JD	2025-04-01	3	41.33	True
LBTYK	2025-04-01	3	11.91	False
LHX	2025-04-01	4	210.58	False
RDDT	2025-04-01	4	109.86	False
VMI	2025-04-01	3	288.82	False
WLK	2025-04-01	4	100.02	False
CCCS	2025-03-31	3	9.03	False
CTSH	2025-03-31	3	76.48	False
FR	2025-03-31	3	54.04	True
IFF	2025-03-31	3	77.52	False
RVTY	2025-03-31	3	106.26	False
UAA	2025-03-31	3	6.24	False
WLK	2025-03-31	4	100.06	False
CRNX	2025-03-27	3	34.7	False
FND	2025-03-27	3	83.55	False
FRPT	2025-03-27	4	86.44	False
FYBR	2025-03-26	4	35.87	True
ONTO	2025-03-24	3	141.51	False
